Key,English,ChineseSimplified,ChineseTraditional,Spanish,French,Russian,Portuguese,Japanese,Korean
飞行速度：1500,Speed: 1500,飞行速度：1500,,,,,,飛行速度：1500,비행 속도: 1500
跳跃高度：999,Jump Height: 999,跳跃高度：999,,,,,,ジャンプの高さ：999,점프 높이: 999
宠物,Pets,宠物,,,,,,ペット,애완 동물
九连杀！超越神啦！,Nine Kills! Beyond God!,九连杀！超越神啦！,,,,,,9連続キル！神を超えて！,9연속 킬! 신을 넘어서!
你是谁你是谁你是,Who are you? Who are you?,你是谁你是谁你是,,,,,,あなたは誰ですか、あなたは誰ですか、あなたは誰ですか,당신은 누구입니까? 당신은 누구입니까?
 击败 , Defeat , 击败 ,,,,,, ビート , 이기다 
1段斗之气(1级),Duan Qi (Level 1),1段斗之气(1级),,,,,,1 段頭志気（レベル1）,1 두안두지기(레벨 1)
爱玩游戏的小胖子,Game-playing little fat guy.,爱玩游戏的小胖子,,,,,,ゲームが大好きなデブ男,게임을 좋아하는 뚱뚱한 남자
100/100,100/100,100/100,,,,,,100/100,100/100
未拥有,Not owned,未拥有,,,,,,所有していない,소유하지 않음
我的宠物,My Pet,我的宠物,,,,,,私のペット,내 애완동물
免费抽奖,Free Lottery,免费抽奖,,,,,,無料抽選,무료 추첨
200级解锁,Unlock at Level 200,200级解锁,,,,,,レベル200でアンロック,200 레벨에서 잠금 해제
92,92,92,,,,,,92,92
性感的蔡司,Sexy Chase,性感的蔡司,,,,,,セクシーなツァイス,섹시한 자이스
28,28,28,,,,,,28,28
排名,Ranking,排名,,,,,,ランキング,순위
昵称,Nickname,昵称,,,,,,ニックネーム,닉네임
历史最高,Highest,历史最高,,,,,,史上最高,사상 최고치
当前高度,Current Height,当前高度,,,,,,現在の高さ,현재 높이
UserId,UserId,UserId,,,,,,UserId,UserId
未上榜,Not listed,未上榜,,,,,,リストに載っていない,목록에 없음
自己,Self,自己,,,,,,自分の,소유하다
value1,value1,value1,,,,,,value1,value1
value2,value2,value2,,,,,,value2,value2
value3,value3,value3,,,,,,value3,value3
排行模式,Ranking Mode,排行模式,,,,,,ランキングシステム,랭킹 시스템
击杀人数,Kills,击杀人数,,,,,,キル数,처치 횟수
收集分数,Collect Scores,收集分数,,,,,,スコアの収集,점수 수집
武器,Weapons,武器,,,,,,武器,무기
服装,Clothing,服装,,,,,,衣類,의류
飞行翼,Flying Wings,飞行翼,,,,,,アエロフォイル,에어로포일
拖尾,Trails,拖尾,,,,,,尾行,미행
发型,Hair,发型,,,,,,髪型,헤어스타일
上衣,Top,上衣,,,,,,上衣,재킷
下衣,Bottom,下衣,,,,,,ボトムス,하의
手,Hands,手,,,,,,手,손
鞋,Shoes,鞋,,,,,,靴,구두
套装,Outfit,套装,,,,,,スーツ,정장
返回,Return,返回,,,,,,戻る,반품
保存装扮,Save Outfit,保存装扮,,,,,,衣装を保存する,옷을 저장
终极冰环剑,Ultimate Ice Ringblade,终极冰环剑,,,,,,究極のアイスリングソード,궁극의 아이스 링 소드
补签,Make up,补签,,,,,,再署名,재서명
星期一,Monday,星期一,,,,,,月曜日,월요일
攻击力+100,ATK +100,攻击力+100,,,,,,攻撃力＋100,공격력 +100
生命值+1000,HP +1000,生命值+1000,,,,,,生命価値 +1000,생명 가치 +1000
星期二,Tuesday,星期二,,,,,,火曜日,화요일
攻击力+200,ATK +200,攻击力+200,,,,,,攻撃力＋200,공격력 +200
生命值+2000,HP +2000,生命值+2000,,,,,,生命価値 +2000,생명 가치 +2000
星期三,Wednesday,星期三,,,,,,水曜日,수요일
攻击力+300,ATK +300,攻击力+300,,,,,,攻撃力＋300,공격력 +300
生命值+3000,HP +3000,生命值+3000,,,,,,ライフ・バリュー +3000,생명 가치 +3000
星期四,Thursday,星期四,,,,,,木曜日,목요일
攻击力+400,ATK +400,攻击力+400,,,,,,攻撃力 +400,공격력 +400
生命值+4000,HP +4000,生命值+4000,,,,,,生命価値 +4000,수명 가치 +4000
星期五,Friday,星期五,,,,,,金曜日,금요일
攻击力+500,ATK +500,攻击力+500,,,,,,攻撃力＋500,공격력 +500
生命值+5000,HP +5000,生命值+5000,,,,,,生命価値 +5000,생명 가치 +5000
星期六,Saturday,星期六,,,,,,土曜日,토요일
攻击力+600,ATK +600,攻击力+600,,,,,,攻撃力＋600,공격력 +600
生命值+6000,HP +6000,生命值+6000,,,,,,生命価値 +6000,생명 가치 +6000
星期日,Sunday,星期日,,,,,,日曜日,일요일
等级+30,Level +30,等级+30,,,,,,レベル+30,레벨 +30
攻击力+700,ATK +700,攻击力+700,,,,,,攻撃力 +700,공격력 +700
生命值+7000,HP +7000,生命值+7000,,,,,,生命価値 +7000,생명 가치 +7000
七天累计登录,7-DAY CHECK-IN,七天累计登录,,,,,,7日間の累積ログイン,7일 누적 로그인
活动期间累计登录七天即可获得相应的奖励,Log in for seven days during the event to receive the corresponding reward,活动期间累计登录七天即可获得相应的奖励,,,,,,イベント期間中、合計7日間ログインすると、対応する報酬を手に入れることができる。,이벤트 기간 동안 총 7일 동안 로그인하면 해당 보상을 받을 수 있습니다.
1000,1000,1000,,,,,,1000,1000
defaultName,defaultName,defaultName,,,,,,defaultName,defaultName
获取失败，请重试,"Failed, please try again.",获取失败，请重试,,,,,,取得に失敗しました。もう一度お試しください,획득에 실패했습니다. 다시 시도해 주세요.
可以穿戴这套服装哟~,You can wear this outfit!,可以穿戴这套服装哟~,,,,,,このコスチュームを着ることができる。,이 코스튬을 착용할 수 있습니다.
可以使用这个厉害的武器哟~,You can use this powerful weapon!,可以使用这个厉害的武器哟~,,,,,,この素晴らしい武器が使えるよ,"이 멋진 무기를 사용할 수 있습니다, 요~."
可以使用超快翅膀飞行哟~,You can fly with superfast wings!,可以使用超快翅膀飞行哟~,,,,,,超高速の翼で飛ぶことができる！,초고속 날개로 날 수 있습니다!
可以使用这个帅气的拖尾哟~,You can use this handsome trailing effect!,可以使用这个帅气的拖尾哟~,,,,,,このハンサムなトレーリングテールが使えるんだ、よぉ～！,"이 잘생긴 꼬리를 사용해도 돼요, 요~!"
可以帮你找到它哟~,Can help you find it!,可以帮你找到它哟~,,,,,,私はそれを見つける手助けができる。,제가 도와드릴 수 있습니다.
可以增加2次使用次数哟~,You can increase the number of uses twice!,可以增加2次使用次数哟~,,,,,,使用回数を2回増やすことができる。,사용 가능 횟수를 2배까지 늘릴 수 있습니다.
可以随机提升攻击力、最大生命值、移动速度、飞行速度、跳跃高度。,"It can randomly increase Attack power, Max HP, Movement speed, Flight speed, Jump height.",可以随机提升攻击力、最大生命值、移动速度、飞行速度、跳跃高度。,,,,,,攻撃力、最大ライフ、移動速度、飛行速度、ジャンプの高さをランダムにアップさせることができる。,"공격력, 최대 생명력, 이동 속도, 비행 속도, 점프 높이가 무작위로 증가합니다."
可以补签哟~,You can make up for it.,可以补签哟~,,,,,,ビザの再発行は可能です。,대체 비자를 발급받을 수 있습니다.
可以免费抽奖哟~,You can draw a lottery for free!,可以免费抽奖哟~,,,,,,抽選で豪華賞品が当たります。,추첨을 통해 경품을 받을 수 있습니다.
带你去找皮肤~,Take you to the skin!,带你去找皮肤~,,,,,,あなたを肌身離さず連れて行く。,피부로 이동합니다.
宝箱是空的哎~,The treasure chest is empty!,宝箱是空的哎~,,,,,,宝箱は空っぽだ。,보물 상자가 비어 있습니다.
购买,Purchase,购买,,,,,,買う,구입하다
前往 斗神大陆\n复活小舞,Go to Arena\nRevive Dance,前往 斗神大陆\n复活小舞,,,,,,同人大陸の神様へ ⑭復活の小舞,도진 대륙의 신 \n 샤오마이 부활로 이동하기
前往,Go,前往,,,,,,に行く,이동
清晨,Morning,清晨,,,,,,早朝,이른 아침
中午,Noon,中午,,,,,,正午,정오
傍晚,Evening,傍晚,,,,,,夕方,저녁
凌晨,Morning,凌晨,,,,,,早朝,이른 아침
贵族女,Noble Woman,贵族女,,,,,,貴婦人,귀족 여성
富可敌国,Enemy Power,富可敌国,,,,,,国として豊かな,국가로서 부자
得到144个宝箱,Get 144 chests,得到144个宝箱,,,,,,144個の宝箱を手に入れる,144개의 보물 상자 획득
最强斗帝,Fighter,最强斗帝,,,,,,最強のドウ・ディ,최강의 도우디
"成为斗帝,达到100级",Become a champion and reach level 100.,"成为斗帝,达到100级",,,,,,デュエリストになってレベル100になる。,결투사가 되어 100레벨을 달성하세요.
最强斗圣,Fighter King,最强斗圣,,,,,,最強の同人誌、史上最強の格闘家,"역사상 가장 강력한 전사, 최강의 도진시"
成为斗圣，达到90级,Become a champion and reach level 90.,成为斗圣，达到90级,,,,,,ファイティング・セイントになり、レベル90に達する,싸우는 성자가 되어 90레벨 달성하기
最强斗尊,Supreme Fighter,最强斗尊,,,,,,最強のドウシュン,최강의 더우쥔
成为斗尊，达到80级,Become the Supreme Battle Master and reach level 80.,成为斗尊，达到80级,,,,,,ドウ・ズンになってレベル80に達する,더우쥔이 되어 80레벨 달성하기
最强斗宗,Challenger,最强斗宗,,,,,,最強のドウ・ゾン,최강 도우종
成为斗宗，达到70级,Become a fighter and reach level 70.,成为斗宗，达到70级,,,,,,ファイターになってレベル70に到達,투사가 되어 70레벨 달성
最强斗皇,Challenger,最强斗皇,,,,,,最強戦士,최강의 전투기
成为斗皇，达到60级,Become the champion and reach level 60.,成为斗皇，达到60级,,,,,,ファイティング・エンペラーになり、レベル60に達する,격투 황제가 되어 60레벨 달성하기
最强斗王,Challenger,最强斗王,,,,,,最強のキング・オブ・ファイターズ,최강의 킹 오브 파이터
成为斗王，达到50级,Become the champion and reach level 50.,成为斗王，达到50级,,,,,,キング・オブ・ファイターズになってレベル50に到達する,킹 오브 파이터가 되어 50레벨 달성하기
最强斗灵,Powerful Spirit,最强斗灵,,,,,,最強の闘志,최강의 투지
成为斗灵，达到40级,Become a fighting spirit and reach level 40.,成为斗灵，达到40级,,,,,,闘志を燃やし、レベル40に達する,투혼을 발휘하여 40레벨 달성
最强大斗师,Most Powerful Fighter,最强大斗师,,,,,,最強の戦士,가장 위대한 전사.
成为大斗师，达到30级,Become a brawler and reach level 30.,成为大斗师，达到30级,,,,,,グランド・マスターになってレベル30に到達,그랜드 마스터가 되어 30레벨 달성
最强斗师,Fighter,最强斗师,,,,,,最強戦士,최강의 전투기
成为斗师，达到20级,Become a fighter and reach level 20.,成为斗师，达到20级,,,,,,マスター・ファイターになってレベル20に達する,마스터 파이터가 되어 20레벨 달성하기
最强斗者,Fighter,最强斗者,,,,,,最強戦士,최강의 전투기
成为斗者，达到10级,Become a fighter and reach level 10.,成为斗者，达到10级,,,,,,ファイターになってレベル10に到達,투사가 되어 10레벨 달성
最强斗帝之帝,Emperor of Fighters,最强斗帝之帝,,,,,,最強のファイティング・エンペラー・オブ・エンペラー,황제 중 가장 강력한 전투 황제
大陆最强，达到999级，无敌！,"The continent is the strongest, reaching level 999, invincible!",大陆最强，达到999级，无敌！,,,,,,大陸最強、レベル999、無敵！,999 레벨에 도달한 대륙 최강자이자 무적의 존재!
杀戮师,Killer,杀戮师,,,,,,スレイヤー,슬레이어
成为杀戮之师，需要击杀10个敌人,Becoming a slayer requires defeating 10 enemies.,成为杀戮之师，需要击杀10个敌人,,,,,,キル・マスターになるには、敵を10人倒す必要がある。,킬마스터가 되려면 적 10명을 처치해야 합니다.
杀戮王,Slay King,杀戮王,,,,,,キング・オブ・キラーズ,킬러의 왕
成为杀戮之王，需要击杀50个敌人,Becoming the King of Slaughter requires defeating 50 enemies.,成为杀戮之王，需要击杀50个敌人,,,,,,50人の敵を倒してキング・オブ・キラーズになろう！,50명의 적을 처치하여 킬러의 왕이 되세요!
杀戮皇,Slaying Emperor,杀戮皇,,,,,,キリング・エンペラー,살인 황제
成为杀戮之皇，需要击杀100个敌人,Becoming the Slayer requires defeating 100 enemies.,成为杀戮之皇，需要击杀100个敌人,,,,,,キング・オブ・キラーズになるには、敵を100人殺す必要がある。,킬러의 왕이 되려면 적 100명을 처치해야 합니다.
杀戮圣,Slay St,杀戮圣,,,,,,キリング・セント,더 킬링 세인트
成为杀戮之圣，需要击杀200个敌人,200 enemies needed to be defeated to become Holy of Slaughter,成为杀戮之圣，需要击杀200个敌人,,,,,,セイント・オブ・キラーズになるには、敵を200人殺す必要がある。,킬러의 성자가 되려면 200명의 적을 처치해야 합니다.
杀戮帝,Slay Emperor,杀戮帝,,,,,,キリング・エンペラー,살인 황제
成为杀戮之帝，需要击杀999个敌人,Becoming the Slayer requires defeating 999 enemies.,成为杀戮之帝，需要击杀999个敌人,,,,,,殺戮の皇帝になるには、敵を999人殺す必要がある。,살육의 황제가 되려면 999명의 적을 처치해야 합니다.
跳高师,High Jumper,跳高师,,,,,,ハイジャンパー,하이 점퍼
成为跳高之师，需要累计跳跃高度达到50000米,"Becoming a high jump master requires reaching a cumulative jump height of 50,000 meters.",成为跳高之师，需要累计跳跃高度达到50000米,,,,,,走り高跳びの達人になるには、ジャンプの累積高さが5万メートルに達する必要がある,"높이뛰기의 달인이 되려면 누적 높이뛰기 높이가 50,000미터가 되어야 합니다."
跳高王,High Jump King,跳高王,,,,,,ハイジャンパー,하이 점퍼
成为跳高之王，需要累计跳跃高度达到100000米,"Becoming the King of High Jumps requires reaching 100,000 meters of jumping height",成为跳高之王，需要累计跳跃高度达到100000米,,,,,,走り高跳び王になるには、累積ジャンプ高10万メートルが必要だ！,"높이뛰기 왕이 되려면 누적 높이뛰기 높이가 100,000미터가 되어야 합니다!"
跳高皇,High Jump King,跳高皇,,,,,,ハイジャンパー,하이 점퍼
成为跳高之皇，，需要累计跳跃高度达到200000米,"Becoming king of the high jump requires reaching a cumulative jump height of 200,000 meters.",成为跳高之皇，，需要累计跳跃高度达到200000米,,,,,,走り高跳び王になるには、ジャンプの累積高さが20万メートルに達する必要がある。,"높이뛰기 왕이 되려면 누적 높이뛰기 높이가 200,000미터에 도달해야 합니다."
跳高圣,High Jump Saint,跳高圣,,,,,,ハイジャンパー,하이 점퍼
成为跳高之圣，需要累计跳跃高度达到500000米,"Becoming the Holy High Jump requires reaching a cumulative jump height of 500,000 meters",成为跳高之圣，需要累计跳跃高度达到500000米,,,,,,走り高跳びの聖者になるには、ジャンプの累積高さが50万メートルに達する必要がある。,"높이뛰기의 성인이 되려면 누적 높이뛰기 높이가 500,000미터에 도달해야 합니다."
跳高帝,High Jumper,跳高帝,,,,,,ハイジャンパー,하이 점퍼
成为跳高之帝，需要累计跳跃高度达到1000000米,"Becoming the High Jump Emperor requires reaching a cumulative jump height of 1,000,000 meters.",成为跳高之帝，需要累计跳跃高度达到1000000米,,,,,,走り高跳びの皇帝になるには、ジャンプの累積高さが100万メートルに達する必要がある。,"높이뛰기의 황제가 되려면 누적 높이뛰기 높이가 1,000,000미터에 도달해야 합니다."
倒霉师,Unlucky Master,倒霉师,,,,,,不遇の主,불행한 마스터
成为倒霉之师，需要被电击或被击飞或被发射10次,"To become an unlucky master, you need to be shocked or knocked away or fired 10 times.",成为倒霉之师，需要被电击或被击飞或被发射10次,,,,,,不運の達人になるには、10回感電死するか、飛ばされるか、打ち上げられる必要がある。,불운의 달인이 되려면 감전사하거나 날아가거나 10번 발사당해야 합니다.
倒霉王,Unlucky King,倒霉王,,,,,,不運王,불운의 왕
成为倒霉之王，需要被电击或被击飞或被发射50次,Becoming the Unlucky King requires being shocked or knocked away or fired 50 times,成为倒霉之王，需要被电击或被击飞或被发射50次,,,,,,不運の王になるには、感電死するか、飛ばされるか、50回打ち上げられる必要がある。,불운의 왕이 되려면 감전되거나 날아가거나 50번 발사되어야 합니다.
倒霉皇,Unlucky Emperor,倒霉皇,,,,,,不運な皇帝,불운한 황제
成为倒霉之皇，需要被电击或被击飞或被发射100次,Becoming an unlucky king requires being shocked or knocked away or fired 100 times,成为倒霉之皇，需要被电击或被击飞或被发射100次,,,,,,不運の皇帝になるには、感電死するか、飛ばされるか、100回打ち上げられる必要がある。,불운의 황제가 되려면 감전되거나 날아가거나 100번 발사되어야 합니다.
倒霉圣,Unlucky St.,倒霉圣,,,,,,不運な聖人,불운의 성자
成为倒霉之圣，需要被电击或被击飞或被发射500次,Becoming an unlucky saint requires being shocked or knocked away or fired 500 times,成为倒霉之圣，需要被电击或被击飞或被发射500次,,,,,,不運の聖人になるには、感電死するか、飛ばされるか、500回打ち上げられる必要がある。,불운의 성자가 되려면 감전사하거나 500번 날아가거나 발사되어야 합니다.
倒霉帝,Unlucky Emperor,倒霉帝,,,,,,不運な帝国,불운의 제국
成为倒霉之帝，需要被电击或被击飞或被发射1000次,"To become an unlucky emperor, you need to be shocked or knocked away or fired 1,000 times.",成为倒霉之帝，需要被电击或被击飞或被发射1000次,,,,,,不運の皇帝になるには、感電死させられるか、飛ばされるか、1000回打ち上げられる必要がある。,"불운의 황제가 되려면 감전되거나 날아가거나 1,000번 발사되어야 합니다."
舞师,Dancer,舞师,,,,,,ダンサー,댄서
成为舞师，需要跳舞10次,"To become a dancer, you need to dance 10 times.",成为舞师，需要跳舞10次,,,,,,ダンサーになるには、10回踊る必要がある,댄서가 되려면 10번 춤을 춰야 합니다.
舞王,Dance King,舞王,,,,,,舞王,댄스왕
成为舞王，需要跳舞30次,"To become a king, you need to dance 30 times.",成为舞王，需要跳舞30次,,,,,,ダンス王になるには、30回踊る必要がある。,댄스왕이 되려면 30번 춤을 춰야 합니다.
舞皇,Dancer,舞皇,,,,,,ダンスクイーン,댄스 퀸
成为舞皇，需要跳舞90次,"To become a dancer, you need to dance 90 times.",成为舞皇，需要跳舞90次,,,,,,ダンスキングになるには、90回踊る必要がある。,댄스왕이 되려면 90번 춤을 춰야 합니다.
舞圣,Dance Master,舞圣,,,,,,グレートダンサー,위대한 댄서
成为舞圣，需要跳舞200次,"To become a dancer, you need to dance 200 times.",成为舞圣，需要跳舞200次,,,,,,ダンス聖者になるには、200回踊る必要がある,댄스 성인이 되려면 200번 춤을 춰야 합니다.
舞帝,Dance Emperor,舞帝,,,,,,舞帝,춤추는 황제
成为舞帝，需要跳舞500次,"To become a dancer, you need to dance 500 times.",成为舞帝，需要跳舞500次,,,,,,ダンサーになるには500回踊る必要がある,댄서가 되려면 500번 춤을 춰야 합니다.
坐师,Sitting Mentor,坐师,,,,,,奉公を終える,견습 마무리
成为坐师，需要坐下10次,"To become a master, you need to sit down 10 times.",成为坐师，需要坐下10次,,,,,,シッティング・マスターになるには、10回座る必要がある。,시팅 마스터가 되려면 10번 앉아야 합니다.
坐王,Sitting King,坐王,,,,,,席に着く,앉으세요
成为坐王，需要坐下50次,"To become the King, you need to sit down 50 times.",成为坐王，需要坐下50次,,,,,,シッティング・キングになるには、50回座る必要がある。,앉아있는 왕이 되려면 50번 앉아야 합니다.
坐皇,Sitting King,坐皇,,,,,,戴く,왕좌를 차지하세요
成为坐皇，需要坐下100次,"To become king, you need to sit down 100 times.",成为坐皇，需要坐下100次,,,,,,シッティング・エンペラーになるには、100回座る必要がある,앉아있는 황제가 되려면 100번 앉아야 합니다.
坐圣,Sit San,坐圣,,,,,,着席セージ,앉은 세이지
成为坐圣，需要坐下300次,"To become a sitter, you need to sit down 300 times.",成为坐圣，需要坐下300次,,,,,,座る聖人になるには、300回座る必要がある,앉아있는 성인이 되려면 300번 앉아야 합니다.
坐帝,Sit Emperor,坐帝,,,,,,帝位に就く,황제 자리에 앉다
成为坐帝，需要坐下999次,"To become emperor, you need to sit down 999 times.",成为坐帝，需要坐下999次,,,,,,坐皇になるには、999回坐る必要がある,앉아있는 황제가 되려면 999번 앉아야 합니다.
武器之师,Weapon Master,武器之师,,,,,,武器の達人,마스터 오브 암즈
成为武器之师，需要更换10次武器,Becoming a weapon master requires changing weapons 10 times,成为武器之师，需要更换10次武器,,,,,,マスター・オブ・アームズになるには、10回の武器変更が必要。,무장의 달인이 되려면 무기를 10번 교체해야 합니다.
武器之王,Weapon King,武器之王,,,,,,武器王,무기의 왕
成为武器之王，需要更换50次武器,Becoming the King of Weapon requires 50 weapon changes,成为武器之王，需要更换50次武器,,,,,,武器王になるには50回の武器交換が必要だ。,무기의 왕이 되려면 50개의 무기를 변경해야 합니다.
武器之皇,Weapon King,武器之皇,,,,,,武器の皇帝,무기의 황제
成为武器之皇，需要更换150次武器,Becoming the Weapon King requires changing weapons 150 times,成为武器之皇，需要更换150次武器,,,,,,武器王になるには、武器を150回変える必要がある。,무기의 왕이 되려면 무기를 150번 교체해야 합니다.
武器之圣,Holy of Weapon,武器之圣,,,,,,武器の聖人,무기의 성자
成为武器之圣，需要更换500次武器,Becoming a weapon saint requires 500 weapon changes,成为武器之圣，需要更换500次武器,,,,,,武器の聖人になるには、500回武器を変える必要がある。,무기의 성자가 되려면 무기를 500번 교체해야 합니다.
武器之帝,Weapon Emperor,武器之帝,,,,,,武器の皇帝,무기의 황제
成为武器之帝，需要更换999次武器,Becoming the Weapon Emperor requires changing weapons 999 times,成为武器之帝，需要更换999次武器,,,,,,武器の皇帝になるには、武器を999回変える必要がある。,무기의 황제가 되려면 무기를 999번 교체해야 합니다.
换装之师,Outfit Master,换装之师,,,,,,ドレスアップ部門,드레스업 부문
成为换装之师，需要换装10次,"To become a dressmaker, you need to change clothes 10 times",成为换装之师，需要换装10次,,,,,,ドレスアップ部門になるには、10着のドレスアップが必要だ。,드레스업 부서가 되려면 10번의 드레스업이 필요합니다.
换装之王,Costume King,换装之王,,,,,,ドレスアップ王,드레스업의 왕
成为换装之王，需要换装50次,"To become the Dress-up King, you need to change clothes 50 times",成为换装之王，需要换装50次,,,,,,ドレスアップ王になるには、50回ドレスアップする必要がある。,옷차림의 왕이 되려면 50번 옷을 차려 입어야 합니다.
换装之皇,Outfit King,换装之皇,,,,,,ドレスアップの王様,드레스업의 왕
成为换装之皇，需要换装150次,"To become the Dress-up King, you need to change clothes 150 times",成为换装之皇，需要换装150次,,,,,,ドレスアップ王になるには、150のドレスアップをこなす必要がある。,드레스업의 왕이 되려면 150번의 드레스업을 해야 합니다.
换装之圣,Saint of Outfit,换装之圣,,,,,,ドレスアップの聖人,꾸밈의 성자
成为换装之圣，需要换装500次,"To become the Holy of Outfits, you need to change outfits 500 times",成为换装之圣，需要换装500次,,,,,,ドレスアップの聖人になるには、500回ドレスアップする必要がある。,옷차림의 성인이 되려면 500번 옷을 입어야 합니다.
换装之帝,Outfit Emperor,换装之帝,,,,,,ドレスアップの皇帝,드레스업의 황제
成为换装之帝，需要换装999次,Becoming the Dress-up Emperor requires changing clothes 999 times,成为换装之帝，需要换装999次,,,,,,ドレスアップの皇帝になるには、999回ドレスアップする必要がある。,옷차림의 황제가 되려면 999번 옷을 입어야 합니다.
